Title,Note,URL,Comment
The Interval at Long Now,,https://www.google.com/maps/place/The+Interval+at+Long+Now/data=!4m2!3m1!1s0x808581277bcfae83:0x52c6d92ef2e8493a,
Neighbor Bakehouse,,https://www.google.com/maps/place/Neighbor+Bakehouse/data=!4m2!3m1!1s0x808f7fb9ba7b10c3:0xa0b0948519a000d,
Bernie's,,https://www.google.com/maps/place/Bernie's/data=!4m2!3m1!1s0x808f7e137162bbdf:0xb2d116eb2e5e869e,
Caffe Centro,,https://www.google.com/maps/place/Caffe+Centro/data=!4m2!3m1!1s0x80858078dd874d2f:0x110790dccfda662f,
SIGNAL Coffee Roasters,,https://www.google.com/maps/place/SIGNAL+Coffee+Roasters/data=!4m2!3m1!1s0x808579be295c5d01:0xc3905da680047fbe,
SIGNAL Coffee Roasters,,https://www.google.com/maps/place/SIGNAL+Coffee+Roasters/data=!4m2!3m1!1s0x808f878269485f7d:0x4288146b5389191d,
SIGNAL Coffee Roasters,,https://www.google.com/maps/place/SIGNAL+Coffee+Roasters/data=!4m2!3m1!1s0x808f813f5d63ca39:0x7ce278edf1f1b679,
Mellow Coffee,,https://www.google.com/maps/place/Mellow+Coffee/data=!4m2!3m1!1s0x808581416fb709c9:0x46fc36579208d03b,
TWYNE,,https://www.google.com/maps/place/TWYNE/data=!4m2!3m1!1s0x808f7fac147f2d31:0x1c4b0dca5c3d6dc5,
Mountain Sage,,https://www.google.com/maps/place/Mountain+Sage/data=!4m2!3m1!1s0x8090d5cb8bb0e49b:0x1ddc3033d5bf74d2,
Chatz Coffee Shop,,https://www.google.com/maps/place/Chatz+Coffee+Shop/data=!4m2!3m1!1s0x8085807cef6e20d9:0x675f182a06029a03,
The Lighthouse,,https://www.google.com/maps/place/The+Lighthouse/data=!4m2!3m1!1s0x808f7984bbe34c85:0xba86e4e1079d6d26,
David Rio Chai Bar,,https://www.google.com/maps/place/David+Rio+Chai+Bar/data=!4m2!3m1!1s0x80858084fc9e56fd:0x57c669cd00dc7f0f,
Java Beach Cafe,,https://www.google.com/maps/place/Java+Beach+Cafe/data=!4m2!3m1!1s0x808587969d812a81:0xe153ea7a8d729785,
Chuck’s Takeaway,Vietnamese coffee,https://www.google.com/maps/place/Chuck%E2%80%99s+Takeaway/data=!4m2!3m1!1s0x808f7fc9213fcd35:0xe7f71252760e4064,
Lady Falcon Coffee Club,,https://www.google.com/maps/place/Lady+Falcon+Coffee+Club/data=!4m2!3m1!1s0x808580a53f1268df:0xed6b7dd76377042d,
Blue House Café,,https://www.google.com/maps/place/Blue+House+Caf%C3%A9/data=!4m2!3m1!1s0x808f7d72a06020d9:0x55d776176bafdbc2,
Church Street Cafe,,https://www.google.com/maps/place/Church+Street+Cafe/data=!4m2!3m1!1s0x808f7e1e7ca5c18d:0x1aef53e91642ae7c,
Home Coffee Roasters,,https://www.google.com/maps/place/Home+Coffee+Roasters/data=!4m2!3m1!1s0x80858705520847af:0xbc608c5958e867e7,
Home Coffee Roasters,,https://www.google.com/maps/place/Home+Coffee+Roasters/data=!4m2!3m1!1s0x808f7d89d87ad0ad:0xa46adaf124f113b1,
Breadbelly,,https://www.google.com/maps/place/Breadbelly/data=!4m2!3m1!1s0x80858796efe1a1d3:0x76cd03e55c99edad,
Bake Sum,,https://www.google.com/maps/place/Bake+Sum/data=!4m2!3m1!1s0x80857f13a86691db:0xc720a7bb6a3020dd,
Kiss of Matcha,,https://www.google.com/maps/place/Kiss+of+Matcha/data=!4m2!3m1!1s0x808587f5e6db9e5f:0x57c0863d2fa0d244,
Bob's Donut and Pastry Shop,,https://www.google.com/maps/place/Bob's+Donut+and+Pastry+Shop/data=!4m2!3m1!1s0x808580eb1f5de18f:0xd31cb7a2bea69e22,
Soul Grind Coffee Roasters,,https://www.google.com/maps/place/Soul+Grind+Coffee+Roasters/data=!4m2!3m1!1s0x808f7b9f24b9e4cd:0x9b03fd028f3485d5,
Abanico Coffee Roasters,,https://www.google.com/maps/place/Abanico+Coffee+Roasters/data=!4m2!3m1!1s0x808f7f93c972d729:0x648cd4920dfaa61e,
Golden Goat Coffee,,https://www.google.com/maps/place/Golden+Goat+Coffee/data=!4m2!3m1!1s0x80858139f9da44db:0xcfce9f6ff8d4c1d2,
Black Bird Bookstore and Café,Olive oil cake with Early Grey Frosting is supposed to be really good,https://www.google.com/maps/place/Black+Bird+Bookstore+and+Caf%C3%A9/data=!4m2!3m1!1s0x80858797318d3bcd:0xc980296683aef995,
La Boulangerie de San Francisco,,https://www.google.com/maps/place/La+Boulangerie+de+San+Francisco/data=!4m2!3m1!1s0x808580c7c0285017:0xc621c331d4ebaaf1,
CA Bakehouse,,https://www.google.com/maps/place/CA+Bakehouse/data=!4m2!3m1!1s0x808fcdcb1ffc0977:0xdf70fdda851c51fe,
SPRO - Mission Dolores/Castro,,https://www.google.com/maps/place/SPRO+-+Mission+Dolores%2FCastro/data=!4m2!3m1!1s0x808f7f6366731ebd:0x8f3d832962c9ee77,
diamond coffee and pastries,,https://www.google.com/maps/place/diamond+coffee+and+pastries/data=!4m2!3m1!1s0x808587d7124cac6f:0x49d18504a8605ab3,
Urban Ritual Cafe,,https://www.google.com/maps/place/Urban+Ritual+Cafe/data=!4m2!3m1!1s0x808f7e2d278db25f:0x23aff6d632607d7e,
Anthony's Cookies,,https://www.google.com/maps/place/Anthony's+Cookies/data=!4m2!3m1!1s0x808f7e411c5789b5:0xc4737667c503f572,
Home Coffee Roasters,,https://www.google.com/maps/place/Home+Coffee+Roasters/data=!4m2!3m1!1s0x8085811d82ee7591:0x600ed8193a0d74da,
Radiator coffee salon,,https://www.google.com/maps/place/Radiator+coffee+salon/data=!4m2!3m1!1s0x808581484bc34bd7:0x8c0a7d85b55c070d,
Asha Tea House,,https://www.google.com/maps/place/Asha+Tea+House/data=!4m2!3m1!1s0x808580885a8ca2dd:0xbdd47534d9dcd298,
Mazarine Coffee,"4/26/22 got the specialty drink Raf, it was really good (a bit smaller than I was expecting)",https://www.google.com/maps/place/Mazarine+Coffee/data=!4m2!3m1!1s0x80858088674c9501:0x616337bd1712a8cc,
Excelsior Coffee,,https://www.google.com/maps/place/Excelsior+Coffee/data=!4m2!3m1!1s0x808f7fbf25d3e775:0xd882ef957c6cdf33,
jina bakes,,https://www.google.com/maps/place/jina+bakes/data=!4m2!3m1!1s0x80858132580ef4c5:0xbd1936a05b7f6159,
The Coffee Movement,,https://www.google.com/maps/place/The+Coffee+Movement/data=!4m2!3m1!1s0x808580f2dc1b33a1:0x1cb0bd8eb71079b1,
Craftsman and Wolves,,https://www.google.com/maps/place/Craftsman+and+Wolves/data=!4m2!3m1!1s0x808f7e3d21c27373:0xa60125d472a41c83,
Telescope Coffee,,https://www.google.com/maps/place/Telescope+Coffee/data=!4m2!3m1!1s0x808f7f8819401099:0x12238a11ac69e1b8,
Sunday Bakeshop,,https://www.google.com/maps/place/Sunday+Bakeshop/data=!4m2!3m1!1s0x80857de0ff981dd3:0x8a24569123c46e42,
Rise & Grind Coffee and Tea,,https://www.google.com/maps/place/Rise+%26+Grind+Coffee+and+Tea/data=!4m2!3m1!1s0x808587410f37b989:0x904bcb3784440062,
Linea Coffee Roasting + Caffe,,https://www.google.com/maps/place/Linea+Coffee+Roasting+%2B+Caffe/data=!4m2!3m1!1s0x808f7f600be6effd:0x79aa880641b9941c,
Wrecking Ball Coffee Roasters,,https://www.google.com/maps/place/Wrecking+Ball+Coffee+Roasters/data=!4m2!3m1!1s0x808580d06b09e6e7:0x168b00cb6d6daa2,
Alchemy Collective Cafe and Roaster,,https://www.google.com/maps/place/Alchemy+Collective+Cafe+and+Roaster/data=!4m2!3m1!1s0x80857e7bb808ea09:0x19ab863dc254e6d0,
Maison Danel,,https://www.google.com/maps/place/Maison+Danel/data=!4m2!3m1!1s0x8085813af2384179:0xdeae41b1fea255ad,
Jane The Bakery,,https://www.google.com/maps/place/Jane+The+Bakery/data=!4m2!3m1!1s0x808580b9c8e6d781:0xc66d155748e1a74b,
Arsicault Bakery,,https://www.google.com/maps/place/Arsicault+Bakery/data=!4m2!3m1!1s0x80858739f45d4f27:0x2f0b49df0ee8b492,
Cinderella Bakery & Cafe,,https://www.google.com/maps/place/Cinderella+Bakery+%26+Cafe/data=!4m2!3m1!1s0x8085874754d9a01b:0xc64665b0f22fdd37,
Kantine,,https://www.google.com/maps/place/Kantine/data=!4m2!3m1!1s0x808580a00c61d08b:0x9ce348daff2a4645,
Arizmendi Bakery,,https://www.google.com/maps/place/Arizmendi+Bakery/data=!4m2!3m1!1s0x8085875c351fd531:0xbd0bd910a2c29bee,
Le Dix-Sept Pâtisserie,,https://www.google.com/maps/place/Le+Dix-Sept+P%C3%A2tisserie/data=!4m2!3m1!1s0x808f7fecfc62f3c9:0xc34ee26d7195b846,
Tartine Bakery,,https://www.google.com/maps/place/Tartine+Bakery/data=!4m2!3m1!1s0x808f7e1807365605:0x601f7a97f0ce6c6b,
2343 3rd St,,https://www.google.com/maps/place/2343+3rd+St/data=!4m2!3m1!1s0x808f7fb99116c231:0x982069f5f35a45c9,
3876 Noriega St,,https://www.google.com/maps/place/3876+Noriega+St/data=!4m2!3m1!1s0x8085878fa15ff693:0xffb276289878542d,
Black Jet Baking Co.,,https://www.google.com/maps/place/Black+Jet+Baking+Co./data=!4m2!3m1!1s0x808f7fae23a425cb:0xf22fb87c4fb7b76b,
Document Coffee Bar,,https://www.google.com/maps/place/Document+Coffee+Bar/data=!4m2!3m1!1s0x80c2b88555267ce3:0x276d922826ffabc0,
Dinosaur Coffee,,https://www.google.com/maps/place/Dinosaur+Coffee/data=!4m2!3m1!1s0x80c2c74c471fa67d:0x406c367aafd7ac02,
Espresso Cielo,,https://www.google.com/maps/place/Espresso+Cielo/data=!4m2!3m1!1s0x80c2a4d03a7462cf:0x3309a88ccae8e6ef,
Sidecar Doughnuts & Coffee,,https://www.google.com/maps/place/Sidecar+Doughnuts+%26+Coffee/data=!4m2!3m1!1s0x80dcdff3211860d1:0x505cfce220d4d5b8,
Sidecar Doughnuts & Coffee,,https://www.google.com/maps/place/Sidecar+Doughnuts+%26+Coffee/data=!4m2!3m1!1s0x80c2b9e9856462ab:0x949bc2f77a8b9cf2,
Sidecar Doughnuts & Coffee,,https://www.google.com/maps/place/Sidecar+Doughnuts+%26+Coffee/data=!4m2!3m1!1s0x80dd4b23ee02f487:0xd32b0333ac5868c0,
Sidecar Doughnuts & Coffee,,https://www.google.com/maps/place/Sidecar+Doughnuts+%26+Coffee/data=!4m2!3m1!1s0x80c2a4c8e7e39d3b:0xe6aadd46c0084c8,
Scout Coffee Co.,,https://www.google.com/maps/place/Scout+Coffee+Co./data=!4m2!3m1!1s0x80ecf11cd28cd1f5:0x6832407783905e66,
Cat & Cloud Coffee,,https://www.google.com/maps/place/Cat+%26+Cloud+Coffee/data=!4m2!3m1!1s0x808e1772c5ec2e73:0xa0986ba783d91981,
Cat & Cloud Coffee,,https://www.google.com/maps/place/Cat+%26+Cloud+Coffee/data=!4m2!3m1!1s0x808e15160f4d30e5:0xedd65cbff0ed0724,
Cat & Cloud Coffee,,https://www.google.com/maps/place/Cat+%26+Cloud+Coffee/data=!4m2!3m1!1s0x808e6b5adb36f769:0x80f15d7ebd9ff62c,
11th Hour Coffee,,https://www.google.com/maps/place/11th+Hour+Coffee/data=!4m2!3m1!1s0x808e164d0ac32cb7:0x8a4e73604a63a09a,
Dana Street Roasting Company,,https://www.google.com/maps/place/Dana+Street+Roasting+Company/data=!4m2!3m1!1s0x808fb733f3d2000d:0x5c1f7040505340f7,
Flywheel Coffee Roasters,,https://www.google.com/maps/place/Flywheel+Coffee+Roasters/data=!4m2!3m1!1s0x808587df6abda975:0xda8563a883685178,
The Mill,,https://www.google.com/maps/place/The+Mill/data=!4m2!3m1!1s0x808580b02db73457:0x185a61a92a363ce8,
Müesi Cafe,,https://www.google.com/maps/place/M%C3%BCesi+Cafe/data=!4m2!3m1!1s0x8085814f7fe7e4cd:0x60d6d0c19f9d27ea,
Haus Coffee,,https://www.google.com/maps/place/Haus+Coffee/data=!4m2!3m1!1s0x808f7e47cc899225:0x43b7c8b8b865719e,
Ritual Coffee Roasters,,https://www.google.com/maps/place/Ritual+Coffee+Roasters/data=!4m2!3m1!1s0x808580acf544657f:0xf5cd14538ea44470,
Ritual Coffee Roasters,,https://www.google.com/maps/place/Ritual+Coffee+Roasters/data=!4m2!3m1!1s0x808f7e3e89dacb9b:0x6b734213bb326353,
Ritual Coffee Roasters,,https://www.google.com/maps/place/Ritual+Coffee+Roasters/data=!4m2!3m1!1s0x808580a2085a4bef:0x97508fc44679a00e,
Verve Coffee Roasters,,https://www.google.com/maps/place/Verve+Coffee+Roasters/data=!4m2!3m1!1s0x808fbb3a018fdc21:0x8b8e5350d0886830,
Verve Coffee Roasters,,https://www.google.com/maps/place/Verve+Coffee+Roasters/data=!4m2!3m1!1s0x808f7e1e7b475751:0xd8fab7aaed364b3c,
Saint Frank Coffee,,https://www.google.com/maps/place/Saint+Frank+Coffee/data=!4m2!3m1!1s0x808fa57427a44467:0x906bc30ffd9326fe,
Saint Frank Coffee.,,https://www.google.com/maps/place/Saint+Frank+Coffee./data=!4m2!3m1!1s0x808580e84308f899:0x1a6c72e2732c9aab,
Atlas Cafe,,https://www.google.com/maps/place/Atlas+Cafe/data=!4m2!3m1!1s0x808f7e376a89427b:0x201b8c1f186aa9fc,
Royal Ground Coffee,,https://www.google.com/maps/place/Royal+Ground+Coffee/data=!4m2!3m1!1s0x808580e9ae1ab50d:0x3743277e5fc6acf5,
Four Barrel Coffee,,https://www.google.com/maps/place/Four+Barrel+Coffee/data=!4m2!3m1!1s0x808f7e218f9bf6ff:0xd739722d19b32b9b,
Souvenir Coffee,,https://www.google.com/maps/place/Souvenir+Coffee/data=!4m2!3m1!1s0x80858183ea4291b1:0x31e4bf23069c67eb,
Another Cafe,,https://www.google.com/maps/place/Another+Cafe/data=!4m2!3m1!1s0x80858092fe51ec27:0xdd963f9b68f30b34,
Sextant Coffee Roasters,,https://www.google.com/maps/place/Sextant+Coffee+Roasters/data=!4m2!3m1!1s0x808f7e27d93d5b83:0xe4ff4588f86ba24c,
Cafe Réveille,,https://www.google.com/maps/place/Cafe+R%C3%A9veille/data=!4m2!3m1!1s0x80858080115485ad:0xfdddfa12d0dbe0c1,
Réveille Coffee Co.,,https://www.google.com/maps/place/R%C3%A9veille+Coffee+Co./data=!4m2!3m1!1s0x808580f4eeca4db1:0x8a1d0155b5cdc6bf,
Cafe Réveille,,https://www.google.com/maps/place/Cafe+R%C3%A9veille/data=!4m2!3m1!1s0x808580a6fa4585ef:0x40a859dd201e466f,
Sightglass Coffee,,https://www.google.com/maps/place/Sightglass+Coffee/data=!4m2!3m1!1s0x808580af3cd399d1:0xffceeb92a11a5a6d,
Sightglass Coffee,,https://www.google.com/maps/place/Sightglass+Coffee/data=!4m2!3m1!1s0x808f7e373f977f1f:0x25f057af5269cec5,
Sightglass Coffee,,https://www.google.com/maps/place/Sightglass+Coffee/data=!4m2!3m1!1s0x8085807d666d3505:0x557d9d9978e5bd1d,
Sightglass Coffee,,https://www.google.com/maps/place/Sightglass+Coffee/data=!4m2!3m1!1s0x80858082387de57f:0xc144ba641bc1c6bb,
Andytown Coffee Roasters,,https://www.google.com/maps/place/Andytown+Coffee+Roasters/data=!4m2!3m1!1s0x808f7d636f7d07c9:0x9c828cfd8df4653,
Andytown Coffee Roasters,,https://www.google.com/maps/place/Andytown+Coffee+Roasters/data=!4m2!3m1!1s0x8085879aba03ee79:0xbfb64139d85ba75d,
Andytown Coffee Roasters,,https://www.google.com/maps/place/Andytown+Coffee+Roasters/data=!4m2!3m1!1s0x8085815331763c65:0xb237d0c4ddc74c71,
